experiment_id,method,target,scope,class_id,gas,true_ppm,seed,N,RMSE,MAE,NRMSE_range,R2,Bias
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,1,CO,175.0,42,67,20.8599483066704,11.083945768971562,0.09271088136297954,nan,1.5312762709740346
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,1,CO,200.0,42,67,17.929522823569027,11.24210885142514,0.07968676810475123,nan,-2.265422891346105
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,1,CO,225.0,42,67,18.94887038680317,13.086722045545114,0.08421720171912521,nan,-7.527103095314991
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,1,CO,250.0,42,67,15.621258286148294,6.504777199259762,0.06942781460510353,nan,-6.504777199259762
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,2,Ethylene,12.5,42,67,0.7311403520781593,0.27433836923130067,0.006499025351805861,nan,0.27433836923130067
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,2,Ethylene,25.0,42,67,4.873700047511068,3.6444106501057134,0.04332177820009839,nan,0.768113549200112
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,2,Ethylene,37.5,42,67,4.616931456434224,3.5530307914956674,0.04103939072385977,nan,1.7644581756904747
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,2,Ethylene,50.0,42,67,8.316909089264689,4.19538784749532,0.0739280807934639,nan,1.5210647610841221
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,2,Ethylene,62.5,42,67,7.318714322008775,5.01808313992705,0.06505523841785578,nan,4.495698873949977
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,2,Ethylene,75.0,42,67,4.7398573352008295,3.4924555893841522,0.042132065201785154,nan,1.3885195154593744
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,2,Ethylene,87.5,42,67,5.374729642300638,3.8097220321056087,0.04777537459822789,nan,0.6791437337689257
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,2,Ethylene,100.0,42,67,6.399533832681381,4.023843424757572,0.05688474517939005,nan,-2.864507190412935
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,2,Ethylene,112.5,42,67,9.135374236296222,5.768072624175684,0.0812033265448553,nan,-2.01215267454186
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,2,Ethylene,125.0,42,67,9.37021905843553,5.962621788903956,0.08329083607498249,nan,-5.962621788903956
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,3,Methane,25.0,42,67,4.449920786456502,2.0380968962730512,0.01977742571758445,nan,2.0380968962730512
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,3,Methane,50.0,42,67,5.383030862988656,3.280942658701611,0.023924581613282918,nan,-0.9708767150340839
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,3,Methane,75.0,42,67,4.311562338959296,2.713028487045127,0.019162499284263536,nan,-0.36267866672140686
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,3,Methane,100.0,42,67,5.119629898026955,3.5229796610863726,0.02275391065789758,nan,2.195283500695855
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,3,Methane,125.0,42,67,5.0693992893852196,3.7880404612832677,0.02253066350837875,nan,1.932790613166795
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,3,Methane,150.0,42,67,4.925470477194789,3.065911320762466,0.021890979898643505,nan,1.7641154243168349
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,3,Methane,175.0,42,67,6.839232245181867,5.2168882090149795,0.030396587756363853,nan,2.5958467605083735
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,3,Methane,200.0,42,67,4.858767038894984,3.6951565850176644,0.0215945201728666,nan,-0.531683060013681
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,3,Methane,225.0,42,67,4.928391735842012,3.5841384847788036,0.021903963270408944,nan,0.33756940859199425
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,3,Methane,250.0,42,67,6.74367450623068,4.790838966034805,0.029971886694358574,nan,-4.790838966034805
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,0,Ethanol,12.5,42,67,2.4003779629211315,0.666509844337447,0.02133669300374339,nan,0.666509844337447
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,0,Ethanol,25.0,42,67,4.739332336762591,3.9222653453039333,0.04212739854900081,nan,1.877160933298138
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,0,Ethanol,37.5,42,67,6.438602541699464,5.374607598983378,0.057232022592884124,nan,4.77721772014238
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,0,Ethanol,50.0,42,67,7.092987887929506,6.213569039284831,0.06304878122604005,nan,6.201536741425339
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,0,Ethanol,62.5,42,67,6.496932926978549,5.606976830359494,0.05775051490647599,nan,5.252503857128664
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,0,Ethanol,75.0,42,67,4.974561905838765,3.8798912064590465,0.044218328051900145,nan,3.111355707477539
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,0,Ethanol,87.5,42,67,5.3472391635706105,4.612512158866663,0.04753101478729431,nan,1.1068650732675593
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,0,Ethanol,100.0,42,67,5.790045432811084,5.01777893905104,0.05146707051387629,nan,-1.2938990305284568
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,0,Ethanol,112.5,42,67,10.728728582679,9.459698293086173,0.09536647629047999,nan,-8.61476647311188
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,0,Ethanol,125.0,42,67,11.561274743741235,10.404726663291733,0.10276688661103318,nan,-10.404726663291733
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,1,CO,25.0,42,66,10.371513801074355,3.721857841920494,0.0460956168936638,nan,3.721857841920494
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,1,CO,50.0,42,67,16.190794575689736,9.501519106029674,0.07195908700306551,nan,0.9706460895260344
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,1,CO,75.0,42,67,11.972468164090438,8.592105227134043,0.05321096961817972,nan,-0.7823359587194415
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,1,CO,100.0,42,66,9.353586506945529,6.891660025883327,0.041571495586424576,nan,1.503203285676838
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,1,CO,125.0,42,65,12.958472558716977,10.310017717046945,0.057593211372075466,nan,8.41625533695347
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,1,CO,150.0,42,67,12.101540392501777,8.8978637969815,0.05378462396667456,nan,3.9275496983396456
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,1,CO,175.0,42,66,11.678711058977198,9.100992549704326,0.05190538248434311,nan,3.705369218119235
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,1,CO,200.0,42,67,17.929522823569027,11.24210885142514,0.07968676810475123,nan,-2.265422891346105
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,1,CO,225.0,42,67,18.94887038680317,13.086722045545114,0.08421720171912521,nan,-7.527103095314991
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,1,CO,250.0,42,67,15.621258286148294,6.504777199259762,0.06942781460510353,nan,-6.504777199259762
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,2,Ethylene,12.5,42,67,0.7311403520781593,0.27433836923130067,0.006499025351805861,nan,0.27433836923130067
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,2,Ethylene,25.0,42,67,4.873700047511068,3.6444106501057134,0.04332177820009839,nan,0.768113549200112
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,2,Ethylene,37.5,42,67,4.616931456434224,3.5530307914956674,0.04103939072385977,nan,1.7644581756904747
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,2,Ethylene,50.0,42,66,5.200859235383936,3.4501946631822626,0.04622985987007944,nan,0.7353515300072578
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,2,Ethylene,62.5,42,66,6.372097906356843,4.637322246254149,0.056640870278727495,nan,4.107023067156215
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,2,Ethylene,75.0,42,67,4.7398573352008295,3.4924555893841522,0.042132065201785154,nan,1.3885195154593744
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,2,Ethylene,87.5,42,67,5.374729642300638,3.8097220321056087,0.04777537459822789,nan,0.6791437337689257
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,2,Ethylene,100.0,42,67,6.399533832681381,4.023843424757572,0.05688474517939005,nan,-2.864507190412935
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,2,Ethylene,112.5,42,67,9.135374236296222,5.768072624175684,0.0812033265448553,nan,-2.01215267454186
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,2,Ethylene,125.0,42,67,9.37021905843553,5.962621788903956,0.08329083607498249,nan,-5.962621788903956
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,3,Methane,25.0,42,67,4.449920786456502,2.0380968962730512,0.01977742571758445,nan,2.0380968962730512
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,3,Methane,50.0,42,67,5.383030862988656,3.280942658701611,0.023924581613282918,nan,-0.9708767150340839
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,3,Methane,75.0,42,67,4.311562338959296,2.713028487045127,0.019162499284263536,nan,-0.36267866672140686
